'OnlyDate','errors','numIds'
'2024-05-21','92','51'
'2024-05-22','86','54'
'2024-05-23','70','35'
'2024-05-24','89','43'
'2024-05-25','72','31'
'2024-05-26','78','33'
'2024-05-27','102','53'
'2024-05-28','123','60'
'2024-05-29','125','52'
'2024-05-30','107','40'
'2024-05-31','106','44'
'2024-06-01','95','36'
'2024-06-02','68','26'
'2024-06-03','147','68'
'2024-06-04','140','74'
'2024-06-05','77','36'
'2024-06-06','106','50'
'2024-06-07','111','50'
'2024-06-08','80','37'
'2024-06-09','69','36'
'2024-06-10','96','45'
'2024-06-11','83','44'
'2024-06-12','108','62'
'2024-06-13','98','52'
'2024-06-14','127','62'
'2024-06-15','77','36'
'2024-06-16','73','35'
'2024-06-17','85','36'
'2024-06-18','90','50'
'2024-06-19','142','88'
'2024-06-20','93','51'
'2024-06-21','84','51'
'2024-06-22','59','34'
'2024-06-23','70','33'
'2024-06-24','82','52'
'2024-06-25','87','51'
'2024-06-26','93','57'
'2024-06-27','88','64'
'2024-06-28','60','37'
'2024-06-29','43','23'
'2024-06-30','39','22'
'2024-07-01','89','57'
'2024-07-02','71','49'
'2024-07-03','78','39'
'2024-07-04','105','49'
'2024-07-05','120','68'
'2024-07-06','58','33'
'2024-07-07','51','31'
'2024-07-08','177','133'
'2024-07-09','102','67'
'2024-07-10','127','88'
'2024-07-11','96','66'
'2024-07-12','107','56'
'2024-07-13','82','46'
'2024-07-14','109','42'
'2024-07-15','123','45'
'2024-07-16','107','59'
'2024-07-17','120','77'
'2024-07-18','116','64'
'2024-07-19','115','64'
'2024-07-20','86','44'
'2024-07-21','55','37'
'2024-07-22','98','50'
'2024-07-23','113','63'
'2024-07-24','118','57'
'2024-07-25','121','54'
'2024-07-26','127','55'
'2024-07-27','96','40'
'2024-07-28','76','31'
'2024-07-29','115','55'
'2024-07-30','109','61'
'2024-07-31','110','45'
'2024-08-01','123','50'
'2024-08-02','105','48'
'2024-08-03','77','34'
'2024-08-04','75','36'
'2024-08-05','125','53'
'2024-08-06','85','44'
'2024-08-07','90','51'
'2024-08-08','105','59'
'2024-08-09','115','49'
'2024-08-10','94','32'
'2024-08-11','64','35'
'2024-08-12','80','38'
'2024-08-13','69','44'
'2024-08-14','75','46'
'2024-08-15','69','37'
'2024-08-16','86','42'
'2024-08-17','72','28'
'2024-08-18','50','30'
'2024-08-19','86','44'
'2024-08-20','74','38'
'2024-08-21','96','50'
'2024-08-22','73','39'
'2024-08-23','68','40'
'2024-08-24','67','26'
'2024-08-25','40','20'
'2024-08-26','56','35'
'2024-08-27','61','34'
'2024-08-28','56','25'
'2024-08-29','75','42'
'2024-08-30','67','39'
'2024-08-31','53','32'
'2024-09-01','66','38'
'2024-09-02','66','40'
'2024-09-03','53','33'
'2024-09-04','37','19'
'2024-09-05','62','41'
'2024-09-06','72','34'
'2024-09-07','200','158'
'2024-09-08','66','33'
'2024-09-09','66','28'
'2024-09-10','86','46'
'2024-09-11','69','27'
'2024-09-12','97','36'
'2024-09-13','90','41'
'2024-09-14','58','27'
'2024-09-15','61','30'
'2024-09-16','102','43'
'2024-09-17','94','37'
'2024-09-18','91','36'
'2024-09-19','124','44'
'2024-09-20','123','29'
'2024-09-21','73','31'
'2024-09-22','51','26'
'2024-09-23','81','30'
'2024-09-24','129','38'
'2024-09-25','81','32'
'2024-09-26','106','24'
'2024-09-27','139','41'
'2024-09-28','139','34'
'2024-09-29','98','38'
'2024-09-30','134','59'
'2024-10-01','216','68'
'2024-10-02','140','48'
'2024-10-03','182','65'
'2024-10-04','114','37'
'2024-10-05','140','29'
'2024-10-06','94','25'
'2024-10-07','80','37'
'2024-10-08','78','42'
'2024-10-09','87','40'
'2024-10-10','80','38'
'2024-10-11','116','36'
'2024-10-12','191','23'
'2024-10-13','111','39'
'2024-10-14','101','46'
'2024-10-15','89','43'
'2024-10-16','160','55'
'2024-10-17','168','34'
'2024-10-18','77','31'
'2024-10-19','99','26'
'2024-10-20','50','27'
'2024-10-21','119','56'
'2024-10-22','77','39'
'2024-10-23','112','50'
'2024-10-24','94','52'
'2024-10-25','125','53'
'2024-10-26','88','33'
'2024-10-27','109','40'
'2024-10-28','76','35'
'2024-10-29','128','68'
'2024-10-30','92','46'
'2024-10-31','76','35'
'2024-11-01','71','25'
'2024-11-02','70','41'
'2024-11-03','65','31'
'2024-11-04','108','48'
'2024-11-05','108','43'
'2024-11-06','158','35'
'2024-11-07','115','37'
'2024-11-08','160','46'
'2024-11-09','71','28'
'2024-11-10','71','29'
'2024-11-11','77','41'
'2024-11-12','83','32'
'2024-11-13','76','40'
'2024-11-14','56','25'
'2024-11-15','66','28'
'2024-11-16','177','30'
'2024-11-17','78','35'
'2024-11-18','62','36'
'2024-11-19','58','28'
'2024-11-20','84','42'
'2024-11-21','49','28'
'2024-11-22','70','37'
'2024-11-23','81','27'
'2024-11-24','95','36'
'2024-11-25','77','42'
'2024-11-26','94','38'
'2024-11-27','94','46'
'2024-11-28','79','40'
'2024-11-29','69','35'
'2024-11-30','74','38'
'2024-12-01','82','43'
'2024-12-02','105','55'
'2024-12-03','61','30'
'2024-12-04','63','26'
'2024-12-05','89','54'
'2024-12-06','59','27'
'2024-12-07','66','26'
'2024-12-08','70','21'
'2024-12-09','58','23'
'2024-12-10','82','40'
'2024-12-11','69','35'
'2024-12-12','59','37'
'2024-12-13','56','29'
'2024-12-14','32','17'
'2024-12-15','35','26'
'2024-12-16','65','47'
'2024-12-17','227','29'
'2024-12-18','479','32'
'2024-12-19','458','46'
'2024-12-20','62','34'
'2024-12-21','32','20'
'2024-12-22','28','16'
'2024-12-23','28','17'
'2024-12-24','43','18'
'2024-12-25','43','15'
'2024-12-26','37','20'
'2024-12-27','36','15'
'2024-12-28','41','19'
'2024-12-29','38','14'
'2024-12-30','51','22'
'2024-12-31','22','14'
'2025-01-01','35','15'
'2025-01-02','51','20'
'2025-01-03','73','33'
'2025-01-04','50','13'
'2025-01-05','52','31'
'2025-01-06','31','15'
'2025-01-07','69','34'
'2025-01-08','53','23'
'2025-01-09','40','25'
'2025-01-10','98','20'
'2025-01-11','121','28'
'2025-01-12','155','29'
'2025-01-13','79','40'
'2025-01-14','73','39'
'2025-01-15','69','48'
'2025-01-16','51','35'
'2025-01-17','83','36'
'2025-01-18','52','23'
'2025-01-19','48','30'
'2025-01-20','41','26'
'2025-01-21','55','28'
'2025-01-22','70','37'
'2025-01-23','55','33'
'2025-01-24','79','36'
'2025-01-25','81','16'
'2025-01-26','107','13'
'2025-01-27','53','33'
'2025-01-28','44','30'
'2025-01-29','51','30'
'2025-01-30','37','23'
'2025-01-31','97','33'
'2025-02-01','67','25'
'2025-02-02','55','21'
'2025-02-03','69','29'
'2025-02-04','86','38'
'2025-02-05','63','34'
'2025-02-06','45','25'
'2025-02-07','67','29'
'2025-02-08','40','19'
'2025-02-09','59','28'
'2025-02-10','100','43'
'2025-02-11','64','32'
'2025-02-12','61','35'
'2025-02-13','14','10'
